"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","key_press","test_part","corr_resp","probe","target","fpil1","foil2","condition","question","roomNum","sameRoom","context"
"","html-keyboard-response","423","628922","0.0-2.0-1.70","1505","<img src= images/stimuli/34.png width = '400' height = '251.57232704402514'><p>What came before this object?</p><img src= images/stimuli/57.png width = '400' height = '251.57232704402514' hspace='5'><img src= images/stimuli/62.png width = '400' height = '251.57232704402514' hspace='5'><img src= images/stimuli/3.png width = '400' height = '251.57232704402514' hspace='5'><p>Press 1, 2 or 3.</p>","51","temporalOrder","3","34","images/stimuli/3.png","images/stimuli/62.png","images/stimuli/57.png","2","What came before this object?","35","","within-walls"
"","html-keyboard-response","424","629423","0.0-2.0-2.70","null","","null","blank","","","","","","","","","",""
"","html-keyboard-response","425","630406","0.0-2.0-3.70","982","<img src= images/stimuli/34.png width = '400' height = '251.57232704402514'><p>In which type of room was the object?</p><img src= images/stimuli/nw_room.png width = '400' height = '400' hspace='5'><img src= images/stimuli/ww_room.png width = '400' height = '400' hspace='5'><p>Press 1 or 2.</p>","49","","","","","","","","","","",""
"","html-keyboard-response","426","630907","0.0-2.0-4.70","null","","null","blank","","","","","","","","","",""
"","html-keyboard-response","427","631673","0.0-2.0-5.70","764","<img src= images/stimuli/34.png width = '400' height = '251.57232704402514'><p>At which location in the room was the object?</p><img src= images/stimuli/nw_table.png width = '400' height = '400' hspace='5'><img src= images/stimuli/ww_table.png width = '400' height = '400' hspace='5'><p>Press 1 or 2.</p>","49","","","","","","","","","","",""
"","html-keyboard-response","428","632175","0.0-2.0-0.71","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","",""
"","html-keyboard-response","429","633890","0.0-2.0-1.71","1714","<img src= images/stimuli/23.png width = '400' height = '251.57232704402514'><p>What came before this object?</p><img src= images/stimuli/16.png width = '400' height = '251.57232704402514' hspace='5'><img src= images/stimuli/21.png width = '400' height = '251.57232704402514' hspace='5'><img src= images/stimuli/66.png width = '400' height = '251.57232704402514' hspace='5'><p>Press 1, 2 or 3.</p>","49","temporalOrder","1","23","images/stimuli/16.png","images/stimuli/66.png","images/stimuli/21.png","2","What came before this object?","36","","within-no-walls"
"","html-keyboard-response","430","634391","0.0-2.0-2.71","null","","null","blank","","","","","","","","","",""
"","html-keyboard-response","431","634936","0.0-2.0-3.71","544","<img src= images/stimuli/23.png width = '400' height = '251.57232704402514'><p>In which type of room was the object?</p><img src= images/stimuli/nw_room.png width = '400' height = '400' hspace='5'><img src= images/stimuli/ww_room.png width = '400' height = '400' hspace='5'><p>Press 1 or 2.</p>","49","","","","","","","","","","",""
"","html-keyboard-response","432","635438","0.0-2.0-4.71","null","","null","blank","","","","","","","","","",""
