"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","success","test_part","correct_response","probe"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","215","1159501","0.0-3.0-0.53","","fixation","",""
"4781.050000004936","<img src= stimuli/temporalOrder/42.png width = '386.6666666666667' height = '243.18658280922432'><p>What came after this object?</p><img src= stimuli/temporalOrder/14.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/temporalOrder/78.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/temporalOrder/80.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","50","html-keyboard-response","216","1164284","0.0-3.0-1.53","","temporalOrder","2","42"
"null","","null","html-keyboard-response","217","1164789","0.0-3.0-2.53","","blank","",""
"1467.0849999967031","<img src= stimuli/temporalOrder/42.png width = '386.6666666666667' height = '243.18658280922432'><p>In which room was the object?</p><img src= stimuli/contextMemory/20.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/contextMemory/44.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/contextMemory/39.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","49","html-keyboard-response","218","1166258","0.0-3.0-3.53","","contextMemory","2","42"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","219","1166759","0.0-3.0-0.54","","fixation","",""
"12106.894999989774","<img src= stimuli/temporalOrder/56.png width = '386.6666666666667' height = '243.18658280922432'><p>What came after this object?</p><img src= stimuli/temporalOrder/84.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/temporalOrder/50.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/temporalOrder/39.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","49","html-keyboard-response","220","1178867","0.0-3.0-1.54","","temporalOrder","2","56"
"null","","null","html-keyboard-response","221","1179371","0.0-3.0-2.54","","blank","",""
"1997.7800000051502","<img src= stimuli/temporalOrder/56.png width = '386.6666666666667' height = '243.18658280922432'><p>In which room was the object?</p><img src= stimuli/contextMemory/42.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/contextMemory/25.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/contextMemory/30.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","49","html-keyboard-response","222","1181370","0.0-3.0-3.54","","contextMemory","2","56"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","223","1181871","0.0-3.0-0.55","","fixation","",""
"2370.924999995623","<img src= stimuli/temporalOrder/22.png width = '386.6666666666667' height = '243.18658280922432'><p>What came after this object?</p><img src= stimuli/temporalOrder/83.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/temporalOrder/84.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/temporalOrder/81.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","50","html-keyboard-response","224","1184243","0.0-3.0-1.55","","temporalOrder","2","22"
"null","","null","html-keyboard-response","225","1184746","0.0-3.0-2.55","","blank","",""
"1997.1150000053458","<img src= stimuli/temporalOrder/22.png width = '386.6666666666667' height = '243.18658280922432'><p>In which room was the object?</p><img src= stimuli/contextMemory/7.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/contextMemory/18.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/contextMemory/24.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","51","html-keyboard-response","226","1186745","0.0-3.0-3.55","","contextMemory","1","22"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","227","1187250","0.0-3.0-0.56","","fixation","",""
"5126.854999994859","<img src= stimuli/temporalOrder/68.png width = '386.6666666666667' height = '243.18658280922432'><p>What came before this object?</p><img src= stimuli/temporalOrder/48.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/temporalOrder/28.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/temporalOrder/2.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","49","html-keyboard-response","228","1192378","0.0-3.0-1.56","","temporalOrder","3","68"
"null","","null","html-keyboard-response","229","1192880","0.0-3.0-2.56","","blank","",""
"1509.779999993043","<img src= stimuli/temporalOrder/68.png width = '386.6666666666667' height = '243.18658280922432'><p>In which room was the object?</p><img src= stimuli/contextMemory/40.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/contextMemory/8.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/contextMemory/42.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","49","html-keyboard-response","230","1194392","0.0-3.0-3.56","","contextMemory","1","68"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","231","1194892","0.0-3.0-0.57","","fixation","",""
"4458.539999992354","<img src= stimuli/temporalOrder/20.png width = '386.6666666666667' height = '243.18658280922432'><p>What came after this object?</p><img src= stimuli/temporalOrder/3.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/temporalOrder/10.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/temporalOrder/16.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","50","html-keyboard-response","232","1199352","0.0-3.0-1.57","","temporalOrder","2","20"
"null","","null","html-keyboard-response","233","1199855","0.0-3.0-2.57","","blank","",""
"1343.1349999883678","<img src= stimuli/temporalOrder/20.png width = '386.6666666666667' height = '243.18658280922432'><p>In which room was the object?</p><img src= stimuli/contextMemory/5.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/contextMemory/29.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/contextMemory/16.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","51","html-keyboard-response","234","1201200","0.0-3.0-3.57","","contextMemory","2","20"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","235","1201701","0.0-3.0-0.58","","fixation","",""
"5878.104999996023","<img src= stimuli/temporalOrder/78.png width = '386.6666666666667' height = '243.18658280922432'><p>What came before this object?</p><img src= stimuli/temporalOrder/61.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/temporalOrder/42.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/temporalOrder/29.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","50","html-keyboard-response","236","1207581","0.0-3.0-1.58","","temporalOrder","2","78"
"null","","null","html-keyboard-response","237","1208083","0.0-3.0-2.58","","blank","",""
"5789.304999998538","<img src= stimuli/temporalOrder/78.png width = '386.6666666666667' height = '243.18658280922432'><p>In which room was the object?</p><img src= stimuli/contextMemory/44.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/contextMemory/43.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/contextMemory/3.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","49","html-keyboard-response","238","1213874","0.0-3.0-3.58","","contextMemory","1","78"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","239","1214375","0.0-3.0-0.59","","fixation","",""
