"rt","stimulus","key_press","test_part","trial_type","trial_index","time_elapsed","internal_node_id","corr_resp","probe","target","foil1","foil2","condition","question","roomNum","sameRoom","context"
"1123.2650000602007","<p>Which of the objects below came next?</p><p><img src= 'images/stimuli/13.png' style='width: 33%'></p><div class='row'><div class='threeColumn'><p style='float: left; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/6.png' style='width:100%'>1</p></div><div class='threeColumn'><p style='float: left; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/19.png' style='width:100%'>2</p></div><div class='threeColumn'><p style='float: left; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/14.png' style='width:100%'>3</p></div></div>","51","temporalOrder","html-keyboard-response","265","412824","0.0-0.0-1.44","2","13","images/stimuli/19.png","images/stimuli/14.png","images/stimuli/6.png","4","Which of the objects below came next?","40","0","across"
"null","","null","blank","html-keyboard-response","266","413326","0.0-0.0-2.44","","","","","","","","","",""
"433.0899999476969","<p>What was the layout of the room in which the object appeared?</p><p><img src= 'images/stimuli/13.png' style='width: 33%'></p><div class='row'><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/nw_room.png' style='width:50%'></p></div><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/ww_room.png' style='width:50%'></p></div></div><div class='row'><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'>1</p></div><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'>2</p></div>","49","roomType","html-keyboard-response","267","413760","0.0-0.0-3.44","1","","","","","4","","40","",""
"null","","null","blank","html-keyboard-response","268","414261","0.0-0.0-4.44","","","","","","","","","",""
"632.7300001867115","<p>On which table did the object appear?</p><p><img src= 'images/stimuli/13.png' style='width: 33%'></p><img src= 'images/stimuli/nw_table.png' style='width:33%'>","50","tableNum","html-keyboard-response","269","414896","0.0-0.0-5.44","3","","","","","4","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","fixation","html-keyboard-response","270","415397","0.0-0.0-0.45","","","","","","","","","",""
"503.25499987229705","<p>Which of the objects below came next?</p><p><img src= 'images/stimuli/21.png' style='width: 33%'></p><div class='row'><div class='threeColumn'><p style='float: left; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/68.png' style='width:100%'>1</p></div><div class='threeColumn'><p style='float: left; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/75.png' style='width:100%'>2</p></div><div class='threeColumn'><p style='float: left; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/23.png' style='width:100%'>3</p></div></div>","49","temporalOrder","html-keyboard-response","271","415903","0.0-0.0-1.45","2","21","images/stimuli/75.png","images/stimuli/23.png","images/stimuli/68.png","4","Which of the objects below came next?","37","0","across"
"null","","null","blank","html-keyboard-response","272","416404","0.0-0.0-2.45","","","","","","","","","",""
"753.9949999190867","<p>What was the layout of the room in which the object appeared?</p><p><img src= 'images/stimuli/21.png' style='width: 33%'></p><div class='row'><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/nw_room.png' style='width:50%'></p></div><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/ww_room.png' style='width:50%'></p></div></div><div class='row'><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'>1</p></div><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'>2</p></div>","49","roomType","html-keyboard-response","273","417160","0.0-0.0-3.45","2","","","","","4","","37","",""
"null","","null","blank","html-keyboard-response","274","417661","0.0-0.0-4.45","","","","","","","","","",""
